id,logId,categoryId,factionId,level,name,typeId,rarityId,description,active,xoID,quantity,releaseId,accuracy,addsEnergy,blastPower,cabinPower,damage,durability,energyDrain,featureBlastPercent,featureBulletPercent,featureFirePercent,featureMeleePercent,featurePassthroughPercent,fireRate,fuelReserves,increasesDurability,increasesReputationPercent,mass,massLimit,maxAmmo,maxCabinSpeed,maxChassisSpeed,perks,power,ps,range,timeToOverheating,tonnage,topSpeed,marketDef,userId
1,,2,2,5,Thunderbolt,26,3,,true,1,1,32,2.9,0,0,0,3.3,173,4,0,0,0,0,0,3.8,0,0,0,90,0,0,0,0,,0,1100,1,1.6,0,0,CarPart_Gun_Shotgun_epic,clmpbq6vp0000mtx4cyyep6et
2,,2,2,1,Sledgehammer,26,2,,true,2,1,29,2.9,0,0,0,1.5,93,3,0,0,0,0,0,3.8,0,0,0,54,0,0,0,0,,0,390,1,1.6,0,0,CarPart_Gun_Shotgun_rare,clmpbq6vp0000mtx4cyyep6et
3,,2,2,9,Hammerfall,26,4,,true,3,1,26,3,0,0,0,2.6,221,5,0,0,0,0,0,3.8,0,0,0,122,0,0,0,0,,0,2000,1,1.7,0,0,CarPart_Gun_Shotgun_legend,clmpbq6vp0000mtx4cyyep6et
4,,2,1,0,Spitfire,26,2,,true,4,1,32,2.9,0,0,0,2.2,165,3,0,0,0,0,0,4.2,0,0,0,126,0,0,0,0,,0,390,1,1.4,0,0,CarPart_Gun_Shotgun_Frontal,clmpbq6vp0000mtx4cyyep6et
5,,2,1,0,Lupara,26,1,,true,5,1,26,3,0,0,0,1.5,63,3,0,0,0,0,0,3.8,0,0,0,68,0,0,0,0,,0,255,1,1.7,0,0,CarPart_Gun_Shotgun,clmpbq6vp0000mtx4cyyep6et
6,,2,4,8,Pyre,89,3,,true,6,1,26,9,0,0,0,4.1,52,2,0,0,0,0,0,1.8,0,0,0,81,0,6,0,0,,0,550,8.1,0,0,0,CarPart_HomingMissileLauncher_epic,clmpbq6vp0000mtx4cyyep6et
7,,2,3,1,Vector,18,2,,true,7,1,26,4.1,0,0,0,2.7,74,3,0,0,0,0,0,6.9,0,0,0,171,0,0,0,0,,0,390,3,5.5,0,0,CarPart_Gun_Machinegun_rare,clmpbq6vp0000mtx4cyyep6et
8,,2,4,5,ZS-34 Fat Man,31,3,,true,8,1,26,5.1,0,0,0,7.1,830,6,0,0,0,0,0,3.6,0,0,0,1215,0,10,0,0,,0,1650,6.1,0,0,0,CarPart_Gun_BigCannon_Free_epic,clmpbq6vp0000mtx4cyyep6et
30,,2,4,7,GL-55 Impulse,15,3,,true,30,1,26,2,0,0,0,4.1,126,5,0,0,0,0,0,2.4,0,0,0,198,0,150,0,0,,0,1375,4.1,4,0,0,CarPart_Gun_GrenadeLauncher_Auto,clmpbq6vp0000mtx4cyyep6et
31,,2,3,8,MG13 Equalizer,36,3,,true,31,1,26,6.5,0,0,0,1.4,163,3,0,0,0,0,0,10,0,0,0,216,0,0,0,0,,0,825,4.1,7.1,0,0,CarPart_Gun_Minigun,clmpbq6vp0000mtx4cyyep6et
